RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
21014,Urbandale,Iowa,733,180700,181800,184300,192200,186900,192e3,192300,193500,182100,182600,172300,187100,183600,195500,186400,180300,172700,167200,168900,167400,160300,153200,153200,167400,172900,169600,165900,162300,181500,173800,208100,193900,199100,176500,181700,187800,178200,171200,161900,157800,164200,170500,164e3,175800,173800,186900,171e3,181800,192200,197e3,185600,180200,181500,186700,184e3,180200,179e3,180300,188700,191900,203200,199500,197400,184600,181200,186200,184900,183600,176800,188300,193800,202500,191e3,181500,169800,175300,182400,181700,183900,195200,201400,191500,178500,175900,18e4,190300,197200,207100,198700,201700,195900,201300,203e3,211700,207800,202600,204e3,212200,213e3,208500,221600,220700,227500,211500,212500,205300,212300,218400,222500,220700,228800,227900,223700,213e3,216700,213400,215900,235e3,246800,263600,243900,245e3,235100,235500
23553,Austell,Georgia,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54800,52500,49100,48600,43700,47e3,51900,57500,57300,55200,54500,56e3,6e4,67500,70500,70900,71900,72600,88e3,87700,88200,77e3,78100,78800,79100,78400,78800,81e3,80400,82200,82100,86700,90200,92200,91900,93500,96800,102400,104100,104100,102900,105400,119100,121200,122e3,105600,105900,99400,98100,99800,107300,116100,108700,102700,106e3,110500,113600,111300,116200,126400,127300,125800,120600,123100,127700,129600,13e4,130900,135500,138100,133200,135600,136100,150300,154e3,154600,151900,150400,163400,158e3,
396850,Kendall West,Florida,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98600,100700,102100,104300,109500,113100,124e3,127200,130600,122e3,123300,126400,129100,130400,126400,130500,129400,133400,135800,132800,134300,129600,135500,133100,133900,133200,141500,143300,160800,157700,156300,149700,149600,153600,145100,150900,150200,154700,157e3,177900,174e3,177900,153700,153500,153600,174700,178500,179600,176400,176500,175300,164200,193100,200400,218200,194400,191400,180600,186500,,,,,,
15135,East Meadow,New York,736,421700,395200,393e3,410300,429e3,435600,428200,407800,402900,382200,402300,396700,390200,378600,377400,407600,399300,395700,369900,376400,376400,380100,377400,373200,368200,367700,375e3,395e3,395200,389100,382200,384400,387800,366600,365100,346400,346300,333600,345100,362e3,368e3,369700,362e3,348200,351300,341800,354700,358700,369400,355800,336300,341100,365e3,381800,384e3,361600,353500,329700,335200,337800,348400,353600,362100,368800,373700,378200,384800,385700,387200,378300,391300,392500,377300,361600,332600,346400,372e3,389200,398500,381400,390600,396100,391900,4e5,406800,420800,412900,413800,409600,427600,421700,420100,411600,417300,424900,428100,426100,422800,424100,440100,439500,436500,431900,419300,423e3,428600,443700,436100,435200,434600,448400,449e3,458800,455600,457900,451e3,466e3,466600,481200,464400,459300,479700,486200,499900
24061,Chester,Virginia,737,241800,222300,207200,201200,212100,215200,218900,212500,218700,223200,223900,215600,221500,219600,219300,199500,202700,196600,204900,195800,200400,210400,217400,212500,190600,185100,177400,181300,174500,185400,183600,185500,184300,19e4,198e3,193200,191100,179300,169300,163600,169400,171200,17e4,175700,193900,200500,193400,184600,174400,173e3,167300,163900,159500,164900,169e3,175400,178500,198e3,191500,187800,172600,175800,177100,178500,179800,175300,176800,18e4,180600,179e3,178800,184300,189700,192600,192200,189400,187e3,181900,186800,193500,197100,188600,186500,186600,188900,174700,172800,178300,191200,195600,188600,185300,182200,194100,198300,197100,191300,187800,191800,193600,198300,205e3,207500,205500,209200,214300,218500,212400,212700,218800,214400,209e3,205200,206900,201600,207100,222300,245200,234e3,225200,213100,226500,233600,235400
8283,Clinton,Maryland,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214600,209600,208400,210500,209600,212400,208400,202800,2e5,206300,202900,207700,212700,226800,232700,234200,236700,235200,234400,233500,236600,237100,237600,235300,230300,24e4,234e3,239300,235200,241900,246400,252200,255400,251900,248100,249800,268200,270100,274800,249700,256900,256e3,271e3,266100,264e3,260300,257600,265500,266200,274300,272500,274400,276100,274600,275100,266400,270500
13248,Penfield,New York,739,169100,168200,167600,162800,162900,167400,164400,158300,149200,153500,156500,183100,177800,174700,160700,173500,178900,174400,167400,160100,149200,150800,166300,183800,194600,192800,183800,175200,163e3,167800,163800,169400,164900,177900,177200,174800,164700,167500,171200,170700,165900,175e3,171800,162600,152800,160800,179500,161e3,158e3,152100,173e3,168600,165800,179700,182100,180500,167300,173600,173500,170500,164900,163700,165700,161500,165900,170300,175500,174200,170600,171900,175400,179200,183800,181100,172900,171e3,169e3,172400,176900,183100,187100,181800,182300,170600,169800,170100,178900,193200,191800,194400,182800,188900,185100,188600,203800,206300,225e3,212800,228200,218e3,225e3,226e3,224e3,216500,217800,223100,226900,222800,217500,227500,234200,230700,212200,199500,193700,195200,189500,195300,203800,196500,204500,205700,222600,212900
396859,Seattle Hill-Silver Firs,Washington,740,358200,355700,351600,354800,347200,350300,346900,351400,360100,363300,347400,341500,338600,332900,319300,307e3,306500,299100,294600,298600,299100,307400,314400,311400,309700,302800,294600,283300,274300,280700,281500,274500,264400,259300,254900,264800,251800,246700,229200,230600,234700,242300,246e3,253400,247700,249400,250600,256400,259200,251600,247300,248400,250800,264200,268500,279100,289300,283100,273600,254300,274300,285e3,310500,302e3,307e3,308800,318400,334900,329800,344800,340300,354200,342400,338100,329900,329300,331100,329600,332300,340800,339900,341900,338200,343300,350700,359100,359900,357900,354900,361400,362800,363700,365700,367700,378700,385e3,391400,386600,384900,392300,400200,403500,402600,401200,410600,419700,415600,415600,410100,422e3,428400,434400,437100,439700,448800,455500,462e3,461100,469300,493e3,509200,516700,511200,505900
396716,Plymouth,Michigan,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215700,210400,212100,217600,224100,236e3,235500,238300,235200,233900,233300,239600,246900,255900,268400,250600,265400,240700,244400,218e3,222900,246e3,246900,242300,232200,234e3,240600,237400,236600,227400,232100,242300,251300,255200,243e3,265400,242200,233300,218100,241100,264300,275200,277800,27e4,257500,246400,257500,253900,253500,243600,259100,269400,269700,276700,272700,307500,311900,327600,309300,294500,268200,
398406,Monroe,New Jersey,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267600,268700,239300,245300,239900,272800,260300,252500,245300,244100,276300,291400,328e3,321100,312400,287900,263800,247300,264800,296400,300800,316300,302300,318900,294900,297200,303500,306e3,316100,349800,368800,347900,327e3
