RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
394775,"Las Vegas, NV",29,246500,241600,234300,229e3,218900,208300,195100,188e3,178600,170400,161400,154600,147900,137600,129600,125800,124400,122e3,120100,121800,124200,124900,125100,124700,124700,125400,127600,130500,128100,126500,122700,122700,121300,119500,118200,117300,115300,113800,112300,113e3,111100,108100,105900,107500,109900,110400,110300,109600,111e3,113200,116100,120700,122500,124600,125200,129400,133800,137500,139900,141700,144800,148500,152100,158500,162e3,164900,163500,165200,166800,169200,169800,171800,174100,175900,176e3,170100,169300,172300,180100,182800,183100,183900,185100,190400,190500,191900,188600,190200,192200,193900,195200,194700,196e3,197400,200700,204500,205100,204100,203400,205300,206500,205500,205800,208e3,211800,212100,214300,215600,219900,220800,223700,231e3,234400,234500,233200,236700,239700,242200,245800,251800,259900,262800,265300,
394492,"Columbus, OH",30,140400,137100,137200,136e3,134200,131400,130800,129500,125500,121100,123e3,124300,124e3,121300,121300,123100,126400,130200,134100,136300,135700,131e3,128e3,131600,134900,135100,131200,130900,125400,122300,119200,122300,122300,129500,132700,129800,121500,117200,117900,119500,121e3,125600,124400,122200,122100,125e3,125800,119900,117100,119700,126700,130600,134300,133900,134900,131800,131300,131e3,134500,135200,134500,131700,134900,139600,144600,145500,145100,143600,158300,157500,158500,147100,152700,155400,153800,152300,151500,153100,153200,154400,153700,155100,153600,166200,165900,167500,161800,162200,162400,157900,157900,154200,148e3,142e3,146e3,154300,162700,163700,163400,161e3,161200,160900,163900,166e3,168400,169600,172200,171800,17e4,168800,169300,169400,168900,168700,171200,173900,175600,,,,,,,
395059,"San Jose, CA",31,662200,635800,61e4,595500,582500,568400,541800,514300,476800,454100,439500,431600,408800,392500,386400,403800,430700,453800,464700,468700,472100,489600,496700,499300,493600,486900,490500,493e3,504400,513400,519300,519500,515300,512500,503900,485e3,474400,471400,480300,488600,490200,497700,495100,489900,481500,479800,481e3,476400,475700,485900,503200,523500,543300,567500,578500,587500,587300,597400,609200,616e3,617500,622500,632700,639700,640700,645600,650100,654300,655900,661e3,670900,677300,685400,690500,695e3,700700,696800,705100,71e4,722400,728300,738100,737200,742900,742900,751500,759200,77e4,785500,806e3,809100,812900,805300,823200,822500,828e3,818600,827100,830700,830600,833200,833300,843e3,849200,856400,860300,864300,873600,886600,888800,889500,897300,910200,931600,957e3,989900,1017100,1071500,1108300,1165500,1193300,1197900,1172800,
394355,"Austin, TX",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230700,228700,227200,222e3,224500,225600,222300,222600,223500,227e3,224600,223500,225900,231300,234400,238100,236500,238500,239400,239500,239900,239e3,244700,248600,248800,245400,245600,248500,253600,252700,253100,254300,256800,261700,263100,266e3,266700,269500,270200,270900,268400,269900,270300,272100,273200,275500,277900,278400,277900,279200,282900,285300,286600,283900,287200,287200,289200,287600,287600,288300
395194,"Virginia Beach, VA",33,223900,220500,215900,211e3,209400,208600,208300,207100,206e3,205100,206400,209200,212e3,211400,209900,205200,202e3,200100,202800,204600,202900,201700,204800,207800,21e4,205500,202900,198500,199200,198200,199900,195800,197500,198900,204600,201300,193200,183600,178100,173e3,170700,172900,178100,180600,178800,178400,179e3,182500,184600,186100,188e3,186100,184500,182900,189300,195300,196500,194e3,193500,193700,193400,191800,190100,192100,192900,197300,196400,196600,194700,193200,190300,189400,191500,193800,193100,192e3,189300,189600,189600,192300,192300,193e3,191900,194200,196300,197300,199700,197500,201e3,199600,202200,199100,196700,197200,200500,203800,202800,202500,204600,206400,207400,205e3,203700,205200,21e4,213e3,215200,218800,218800,219100,214600,216700,216e3,215200,213500,214900,216400,217800,221e3,223700,226500,221300,222100,219800
394902,"Nashville, TN",34,151100,149800,147700,145800,143800,142600,141400,142500,142200,141100,141600,142500,143200,141600,138500,137900,137400,138800,14e4,141300,140700,140700,142500,143300,145200,142700,143200,140900,139700,139e3,142e3,144100,143900,142200,144e3,144e3,142500,140800,138800,138100,136500,139700,138100,138e3,135500,138700,139800,141900,141100,141100,141100,141100,142100,143600,145200,146500,144900,147700,149300,151700,150700,152e3,154800,156400,158e3,158300,158800,158400,157800,159200,158300,163400,165e3,168600,166100,167500,166700,167800,167700,168800,171900,174900,176900,178700,180700,182700,184e3,183700,181100,180500,182500,187500,190800,188900,191600,190300,192300,191700,195e3,198500,202700,206700,209400,213300,212700,215400,218200,221300,223100,222300,222800,222900,223100,225900,230800,234100,237600,237900,244600,248800,254500,255400,252600,249100
394862,"Milwaukee, WI",35,196700,190900,185300,180400,177400,177700,180700,181900,182700,180800,180100,178700,175700,172400,166500,164600,161400,162900,165e3,169800,173e3,173900,175700,181600,183300,179600,171400,166300,169600,174600,177600,177200,176200,179100,18e4,188100,181e3,175200,164700,164500,166800,166300,17e4,169200,167100,167e3,167600,167200,162400,162600,161400,163900,163600,168200,168900,168400,156100,157700,161900,176200,177600,177900,176100,174300,173500,174500,175500,173900,171900,171900,173e3,173300,173600,171800,172500,172200,176400,178300,181700,181e3,184400,185900,185300,184e3,182500,187e3,189e3,191200,189800,199400,195500,197500,181900,184700,177700,186300,186300,191e3,186700,189600,186500,186500,184900,190700,192200,192700,197400,200300,203800,201700,202900,201700,199400,199500,199500,201300,205100,206500,209e3,209600,209100,210600,204300,201400
394714,"Jacksonville, FL",36,195600,187500,176100,169600,167100,165900,164600,161700,159800,157200,159800,164100,163200,154500,141800,136700,137200,138500,135800,133700,134300,137500,140900,141600,139600,134600,128900,124800,120100,117700,114900,116500,118e3,122100,122600,123e3,122600,123e3,119500,117200,115200,119500,117300,120300,118300,125400,123300,124400,120200,122400,124200,124800,125900,123400,122500,121600,123500,126900,132300,138500,142e3,142100,140500,141100,140700,142500,144600,144600,144e3,139400,138e3,136600,139900,143200,141200,139600,140700,142700,143200,142100,144500,148e3,15e4,152200,150200,150200,150900,153100,156100,156300,157e3,156600,152700,154900,158500,171900,170400,167500,161700,164400,163400,163e3,163400,169500,169400,170600,171400,187400,191700,193700,183400,182100,178300,177e3,174700,174800,176500,186800,201500,215700,216500,209200,197700,195300
394849,"Memphis, TN",37,113200,111e3,104700,103500,101100,103400,102600,102200,98200,93900,91200,95200,98600,99900,94300,94200,96100,101300,105600,110600,114800,115400,112200,104e3,99300,99700,103400,103e3,95e3,88700,87700,90100,99900,102e3,104600,101400,99800,96500,89200,87200,83500,85400,91800,96900,97500,93900,96200,95900,95300,92300,91700,89800,91100,91900,95200,97200,105700,108300,111800,109e3,107200,102800,100200,104200,109900,111500,112700,113200,115500,114900,115500,118e3,121700,120500,122200,118300,123100,122400,123800,128800,130900,132200,127e3,127600,129800,129600,127800,126500,124e3,123800,123800,124900,122800,121700,121700,122500,123200,127300,130500,132700,131300,134300,133400,134100,134600,138e3,138900,139e3,137700,139800,139800,141100,139300,139900,142100,146400,151900,155500,156800,151900,146900,145500,147800,149e3
394935,"Oklahoma City, OK",38,102400,104900,105900,110100,108600,109500,106900,107200,106200,105700,106900,108200,111100,111200,112100,113600,114700,113300,112200,111300,112500,111700,108400,107200,109600,115500,117300,116500,112900,109300,108400,108800,113200,114900,116900,117300,115500,114300,114600,114700,116100,113800,115700,116700,117200,119e3,119900,122400,120400,120900,122100,122100,121100,120300,124e3,127700,130800,131e3,130800,129400,13e4,129700,13e4,129e3,13e4,130900,132200,131200,130900,130600,130600,130900,131700,132800,133900,134200,134700,133800,134500,135300,136900,140300,141e3,141e3,136300,135300,140300,145100,147100,144300,143700,146300,146600,147900,149200,149500,148e3,145500,144200,144500,142700,139900,139100,138900,140800,140400,143100,144100,144e3,145400,147600,150100,148800,146500,146100,144900,146500,148600,149e3,151300,149700,148600,148700,147400
